Debug log for att_1 (Episode 1)
================================================================================
[Step 1] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=+0.085 | Cum=+0.085 | Info={'shot_attempted': False, 'pass_attempted': True, 'pass_quality': 1.0, 'pass_power': 21.0, 'pass_direction': [-0.001227615918550251, 0.2240636461000476], 'invalid_pass_direction': True, 'start_pass_bonus': True, 'pass_to': 'att_2', 'pass_direction_raw': [-0.707106074080521, -0.707106074080521], 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'possession_lost': False}
[Step 52] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.362 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 53] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.372 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 54] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.382 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 55] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.391 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 56] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.401 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 57] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.411 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

[Step 58] Action=[ 1. -1.  1.  0.  1. -1. -1.] | Reward=-0.010 | Cum=-0.421 | Info={'shot_attempted': False, 'pass_attempted': False, 'goal_scored': False, 'goal_team': None, 'ball_out_by': None, 'has_ball': False, 'start_shot_bonus': False, 'start_pass_bonus': False, 'possession_lost': False}

